channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
3.919822E-2	2.429792E-4
4.208451E-2	1.247720E-2
4.304661E-2	1.151134E-2
3.663263E-2	-5.552178E-3
3.631193E-2	8.613761E-3
2.925655E-2	5.072277E-3
3.791542E-2	-9.093662E-3
3.502913E-2	-1.366787E-3
3.663263E-2	-1.134733E-2
3.278424E-2	-1.134733E-2
4.048102E-2	1.956017E-2
3.759473E-2	-9.415616E-3
3.823612E-2	-1.488882E-2
3.053935E-2	7.325949E-3
3.406704E-2	-1.263515E-2
2.925655E-2	-5.552178E-3
3.086005E-2	-3.130843E-2
3.374634E-2	-6.196084E-3
3.695333E-2	-8.127803E-3
3.663263E-2	-1.746444E-2
3.887752E-2	-1.714249E-2
3.374634E-2	-2.132788E-2
3.534983E-2	-2.164984E-2
3.438774E-2	-2.390351E-2
3.502913E-2	-2.615718E-2
3.567053E-2	-2.454741E-2
3.310494E-2	-2.100593E-2
3.406704E-2	-1.295710E-2
3.438774E-2	-3.742554E-2
3.150145E-2	-2.132788E-2
3.310494E-2	-2.164984E-2
3.278424E-2	-3.130843E-2
2.893585E-2	-2.808890E-2
3.053935E-2	-3.002062E-2
3.150145E-2	-3.517187E-2
2.989795E-2	-2.654599E-3
3.021865E-2	-3.388405E-2
3.823612E-2	-2.776694E-2
3.599123E-2	-4.586318E-3
3.246354E-2	-3.002062E-2
3.118075E-2	-1.875226E-2
3.823612E-2	-1.553273E-2
3.470843E-2	-1.810835E-2
3.310494E-2	-2.261569E-2
3.182214E-2	-3.195234E-2
3.021865E-2	-2.358155E-2
3.118075E-2	-3.130843E-2
3.214284E-2	-3.195234E-2
3.663263E-2	-2.293765E-2
3.246354E-2	-2.583523E-2
3.374634E-2	-3.002062E-2
2.957725E-2	-2.036202E-2
3.438774E-2	-1.199124E-2
3.663263E-2	-3.195234E-2
3.021865E-2	-1.456687E-2
3.374634E-2	-1.231319E-2
3.278424E-2	-2.905476E-2
2.925655E-2	-1.617663E-2
3.053935E-2	-2.293765E-2
3.118075E-2	-3.163038E-2
2.989795E-2	3.462511E-3
3.182214E-2	-1.875226E-2
3.053935E-2	-8.771709E-3
3.150145E-2	1.666259E-2
2.989795E-2	-3.620459E-3
3.053935E-2	4.428370E-3
3.021865E-2	-2.010693E-3
2.604956E-2	7.969855E-3
3.118075E-2	1.022353E-2
3.246354E-2	1.208839E-3
3.470843E-2	1.795040E-2
4.336731E-2	1.601868E-2
4.144311E-2	1.344306E-2
3.278424E-2	1.634064E-2
3.599123E-2	2.438947E-2
3.214284E-2	1.666259E-2
3.182214E-2	2.921876E-2
3.150145E-2	3.404806E-2
2.957725E-2	2.020408E-2
3.053935E-2	3.340416E-2
2.604956E-2	3.179439E-2
3.182214E-2	1.795040E-2
